development_name,borough,development_acc_unit_count,inspection_date,raw_score,h_s_score,smoke_detectors,reac_date_2,second_score,second_h_s_score,second_smoke_detectors,reac_date_3,third_score,third_h_s_score,third_smoke_detectors,latitude,longitude
General Grant,New York,1940,2023-02-03T00:00:00Z,3,C,No,2019-09-09T00:00:00Z,9,C,Yes,2017-01-30T00:00:00Z,64,,No,40.814552,-73.958366
James Monroe,Bronx,1102,2022-11-28T00:00:00Z,10,C,Yes,2019-02-04T00:00:00Z,26,C,Yes,2017-02-13T00:00:00Z,81,,No,40.823844,-73.865436
Louis Heaton Pink,Brooklyn,1500,2023-01-27T00:00:00Z,19,C,No,2018-07-16T00:00:00Z,73,C,No,2016-12-27T00:00:00Z,74,,No,40.667899,-73.867167
Herbert H. Lehman Village,New York,622,2023-02-16T00:00:00Z,61,C,Yes,2017-09-18T00:00:00Z,65,C,Yes,2015-02-02T00:00:00Z,81,,No,40.795588,-73.946688
Butler,Bronx,1492,2022-10-25T00:00:00Z,48,C,No,2018-07-31T00:00:00Z,53,C,No,2017-03-15T00:00:00Z,73,,No,40.83478,-73.906992
John Adams,Bronx,925,2022-12-02T00:00:00Z,63,C,No,2018-09-05T00:00:00Z,75,C,No,2017-03-29T00:00:00Z,74,,No,40.816561,-73.904589
Mott Haven,Bronx,993,2023-06-21T00:00:00Z,32,C,Yes,2018-08-13T00:00:00Z,66,C,No,2017-02-28T00:00:00Z,57,,No,40.812111,-73.922161
Lafayette,Brooklyn,882,2023-01-10T00:00:00Z,37,C,Yes,2018-08-08T00:00:00Z,63,C,No,2017-03-14T00:00:00Z,73,,No,40.690357,-73.959018
De Witt Clinton,New York,748,2022-11-30T00:00:00Z,67,C,Yes,2018-08-20T00:00:00Z,72,C,Yes,2017-03-13T00:00:00Z,58,,No,40.794488,-73.944846
Robert Fulton,New York,944,2023-02-07T00:00:00Z,57,C,Yes,2019-02-11T00:00:00Z,24,C,Yes,2017-03-08T00:00:00Z,81,,No,40.743,-74.00508
Polo Grounds Towers,New York,1614,2022-06-29T00:00:00Z,31,C,No,2019-07-30T00:00:00Z,45,,No,2017-01-31T00:00:00Z,60,,No,40.82986,-73.937406
Bch.41 St/Bch. Channel Dr,Far Rockaway,712,2023-02-10T00:00:00Z,15,C,No,2018-11-14T00:00:00Z,54,C,Yes,2017-05-01T00:00:00Z,68,,No,40.596836,-73.771992
Lavanburg Homes,New York,104,2018-08-27T00:00:00Z,64,C,No,2015-10-05T00:00:00Z,87,,No,2012-08-07T00:00:00Z,63,,No,40.718704,-73.976334
Queensbridge,Long Island City,1535,2022-12-05T00:00:00Z,7,C,No,2022-11-30T00:00:00Z,8,C,No,2019-09-16T00:00:00Z,21,C,Yes,40.754407,-73.94584
Whitman,Brooklyn,1642,2022-09-15T00:00:00Z,24,C,No,2019-02-11T00:00:00Z,19,,No,2017-03-28T00:00:00Z,80,,No,40.694527,-73.974668
Pss Grandparent Family Apartments,Bronx,50,2022-02-22T00:00:00Z,45,C,No,2018-08-13T00:00:00Z,51,,No,2016-11-16T00:00:00Z,75,,No,40.822547,-73.900986
Harlem River,New York,347,2022-10-11T00:00:00Z,7,C,Yes,2019-07-29T00:00:00Z,37,,No,2016-11-14T00:00:00Z,63,,No,40.832421,-73.942154
Vladeck,New York,1767,2022-12-27T00:00:00Z,38,C,Yes,2019-08-26T00:00:00Z,51,C,Yes,2015-02-03T00:00:00Z,90,,No,40.712338,-73.982873
South Jamaica Ii,Jamaica,1041,2023-02-14T00:00:00Z,33,C,Yes,2019-07-22T00:00:00Z,47,C,Yes,2016-11-15T00:00:00Z,74,,No,40.695567,-73.794406
East River,New York,2090,2023-02-10T00:00:00Z,16,C,Yes,2018-09-24T00:00:00Z,32,C,Yes,2017-01-30T00:00:00Z,61,,No,40.789641,-73.94336
Kingsborough,Brooklyn,1345,2023-01-03T00:00:00Z,30,C,Yes,2018-09-25T00:00:00Z,79,C,No,2015-12-14T00:00:00Z,81,,No,40.675085,-73.924312
