x,y,development_name,pass,raw_score
26,1.081049910899209,Lower East Side Iii,FALSE,26
30,1.0405249554496045,West Farms Road,FALSE,30
68,0.9797375222751976,Highbrdge Rehab/Anderson Ave,TRUE,68
24,1.081049910899209,Marble Hill,FALSE,24
33,0.906811665688046,Castle Hill,FALSE,33
11,1,Manhattanville,FALSE,11
32,1.081049910899209,Marlboro,FALSE,32
37,0.9392125668255931,Bushwick,FALSE,37
33,1.1013123886240115,Bay View,FALSE,33
38,0.9189500891007908,Saint Marys Park,FALSE,38
49,1.0202624777248024,Rutgers,FALSE,49
11,1.0405249554496045,Drew Hamilton,FALSE,11
58,1.0810499108992098,Stapleton,FALSE,58
51,1.0202624777248024,Chelsea,FALSE,51
36,1,Amsterdam Addition,FALSE,36
18,0.8946732422753011,Frederick Samuel (City),FALSE,18
59,1.0202624777248024,1070 Washington Avenue,FALSE,59
71,1,Prospect Plaza Phase I,TRUE,71
91,1.0202624777248024,Prospect Plaza Phase Ii,TRUE,91
68,0.9473366211376505,Randolph South,TRUE,68
