development,x_need_20,total_number_of_apartments,cap_per_unit,cat_1,cat_1_amt,cat_2,cat_2_amt,cat_3,cat_3_amt
ROBINSON,83941300.49,189,444133.865026455,Apartments,37182894.33,Building Exterior/Facade/Window,9539958.55,Heating,6917369.58
ROOSEVELT I,367751124.84999996,763,481980.5043905635,Apartments,156668715.57,Heating,83197205.1,Building Exterior/Facade/Window,52973094.019999996
ROOSEVELT II,166943584.38,342,488139.13561403507,Apartments,64981640.76,Heating,33523425.55,Building Exterior/Facade/Window,21864160.8
RUTGERS,305307695.61,721,423450.3406518724,Apartments,112654471.19999999,Heating,70749586.87,Building Exterior/Facade/Window,48645817.71
RUTLAND TOWERS,24702713.68,61,404962.5193442623,Apartments,10943200.58,Heating,2880270.1300000004,Building Exterior/Facade/Window,2276767.7399999998
SACK WERN,184344659.9,413,446355.10871670704,Apartments,85345454.39,Heating,29350790.28,Building Exterior/Facade/Window,16481263.42
SAINT MARY'S PARK,462863999.97,1007,459646.4746474678,Apartments,185542981.46,Heating,104316904.7,Building Exterior/Facade/Window,63462870.65
SAINT NICHOLAS,769725982.04,1526,504407.58980340755,Apartments,297004532.69,Heating,151313332.84,Building Exterior/Facade/Window,108993735.96000001
SAMUEL (CITY),386187424.89,664,581607.5676054216,Apartments,119448748.68,Heating,101133985.78,Building Exterior/Facade/Window,48536918.95
SARATOGA VILLAGE,56845015.309999995,125,454760.12247999996,Apartments,24843458.939999998,Heating,8866544.67,Building Exterior/Facade/Window,8138742.8
SEDGWICK,395626184.96,786,503341.20223918575,Apartments,138777776.44,Heating,81112349.91,Building Exterior/Facade/Window,50104067.71
SEWARD PARK EXTENSION,176625033.95000002,360,490625.0943055556,Apartments,70797450.93,Heating,37293034.44,Building Exterior/Facade/Window,23873819.62
SHEEPSHEAD BAY,598037146,1056,566323.0549242424,Apartments,193714189.92000002,Heating,109186964.98,Plumbing,64349362.58
SHELTON HOUSE,56907239.15,155,367143.4783870968,Apartments,26854389.22,Heating,10940454.680000002,Building Exterior/Facade/Window,3996464.9299999997
SMITH,804062823.23,1935,415536.342754522,Apartments,370159600.2,Heating,159275940.73,Plumbing,66995358.92
SOTOMAYOR HOUSES,841624731.34,1497,562207.5693653974,Apartments,307571917.57,Heating,132802210.74000001,Building Exterior/Facade/Window,73361679.05
SOUNDVIEW,594130067.01,1259,471906.3280460683,Apartments,222716896.06,Heating,100292339.03,Plumbing,56617567.93
SOUTH BEACH,283912772.9,422,672779.0827014217,Apartments,73813919.58,Heating,43612131.94,Building Exterior/Facade/Window,42595726.61
SOUTH BRONX AREA (SITE 402),69756215.76,114,611896.6294736842,Apartments,28076576.83,Roofs,13473521.35,Heating,8018193.33
SOUTH JAMAICA I,233973980.03,448,522263.34828125,Apartments,64559318.36,Safety And Security,37636675.3,Heating,35642401.35
SOUTH JAMAICA II,302448062.52,600,504080.10419999994,Apartments,93408804.26,Heating,46819523.44,Building Exterior/Facade/Window,34965172.55
STANTON STREET,11481523.96,13,883194.1507692308,Building Exterior/Facade/Window,3261654.35,Apartments,2867514.61,Elevators,1463313.69
STAPLETON,451039283.66,693,650850.3371717172,Heating,164209612.08,Apartments,137905544.7,Building Exterior/Facade/Window,42390397.1
STEBBINS AVENUE-HEWITT PLACE,61970352.949999996,120,516419.6079166666,Apartments,23721968.77,Building Exterior/Facade/Window,9119319.459999999,Heating,8495862.43
STERLING PLACE REHABS (SAINT JOHNS-STERLING),56275060.51,83,678012.7772289156,Apartments,16181915.79,Building Exterior/Facade/Window,12074293.309999999,Roofs,10949010.49
STERLING PLACE REHABS (STERLING-BUFFALO),61985511.67,125,495884.09336,Apartments,27345071.66,Heating,8167770.08,Building Exterior/Facade/Window,7334261.13
STRAUS,129844997.17999999,267,486310.8508614232,Apartments,42186190.61,Heating,40542228.54,Building Exterior/Facade/Window,15938570.69
STUYVESANT GARDENS I,166438348.07,331,502834.888429003,Apartments,69691340.41,Heating,26652415.14,Building Exterior/Facade/Window,21699946.38
STUYVESANT GARDENS II,66531462.82,150,443543.0854666667,Apartments,23833846.15,Heating,19278274.16,Building Exterior/Facade/Window,6025644.85
SUMNER,505175433.09,1099,459668.2739672429,Apartments,206766765.1,Heating,99473221.04,Elevators,39080133.7
SURFSIDE GARDENS,253031368.06000003,600,421718.9467666667,Apartments,116160616.52000001,Heating,42997127.330000006,Building Exterior/Facade/Window,39115600.74
SUTTER AVENUE-UNION STREET,80890471.39,100,808904.7139,Apartments,18433014.700000003,Plumbing,14112801.26,Heating,12721106.700000001
TAFT,613212623.03,1470,417151.4442380952,Apartments,246704130.83,Building Exterior/Facade/Window,99434845.24000001,Heating,94273339.41
TAPSCOTT STREET REHAB,87320981.5,155,563361.170967742,Apartments,30593286.23,Building Exterior/Facade/Window,24384485.28,Interior Electrical/Lighting,8106804.069999999
TAYLOR STREET-WYTHE AVENUE,231330488.06,525,440629.5010666667,Apartments,86094268.24,Heating,39590593.6,Building Exterior/Facade/Window,30736223.52
TELLER AVENUE-EAST 166TH STREET,40910166.410000004,90,454557.4045555556,Apartments,18047291.84,Heating,6403179.49,Building Exterior/Facade/Window,4555957.45
THOMAS APARTMENTS,37009334.410000004,87,425394.64839080465,Apartments,13925681.32,Heating,10538943.32,Building Exterior/Facade/Window,4194725.37
THROGGS NECK,782727693.85,1185,660529.6994514768,Apartments,238282404.55,Heating,130187563.5,Plumbing,83998656.16
THROGGS NECK ADDITION,134151406.99,287,467426.5051916376,Apartments,54255881.92,Heating,16073419.25,Grounds,13541032.23
TILDEN,454975557.91,998,455887.3325751503,Apartments,188679646.96,Heating,75939190.35000001,Building Exterior/Facade/Window,74799281.83
TODT HILL,268985775.61,502,535828.2382669323,Apartments,94076021.31,Building Exterior/Facade/Window,42286947.35,Heating,36243452.629999995
TOMPKINS,493254702.85,1046,471562.8134321224,Apartments,176727214.03,Heating,108253391.6,Building Exterior/Facade/Window,72950651.08
TWIN PARKS EAST (SITE 9),82286596.11,219,375737.8817808219,Apartments,37883699.5,Heating,15914630.93,Building Exterior/Facade/Window,6099957.12
TWO BRIDGES URA (SITE 7),97557014.76,250,390228.05904,Apartments,47140456.97,Heating,12736588.99,Building Exterior/Facade/Window,10930625.17
UNION AVENUE-EAST 163RD STREET,67414111.57,200,337070.55785,Apartments,32816420.54,Heating,14513478.43,Common Areas/Lobbies,4222524.61
UNION AVENUE-EAST 166TH STREET,71735675.94,120,597797.2995,Apartments,26485550.56,Roofs,11479799.71,Heating,8783232.11
"UNITY PLAZA (SITES 17,24,25A)",81302191.55,167,486839.4703592814,Apartments,36442853.49,Heating,11925800.74,Common Areas/Lobbies,5350084.55
UNITY PLAZA (SITES 4-27),216474608.99,462,468559.75971861475,Apartments,91186801.83,Heating,32970729.240000002,Elevators,19023077.97
UNIVERSITY AVENUE REHAB,136941621.92,230,595398.356173913,Apartments,43005580.5,Heating,23826105.34,Plumbing,18354005.5
UPACA (SITE 5),64638485.21,200,323192.42605,Apartments,33577590.46,Heating,7558736,Common Areas/Lobbies,4580054.18
UPACA (SITE 6),54631268.51,150,364208.4567333333,Apartments,24369360.189999998,Heating,7105897.79,Building Exterior/Facade/Window,6440779.26
VAN DYKE I,730016581.35,1603,455406.4762008734,Apartments,273392246.39,Heating,111472677.99,Building Exterior/Facade/Window,76102820.05
VAN DYKE II,41896229.980000004,112,374073.4819642858,Apartments,18988996.060000002,Building Exterior/Facade/Window,5446417.93,Heating,4267330.11
VANDALIA AVENUE,121597040.5,293,415006.96416382253,Apartments,52084687.87,Heating,21412404.47,Building Exterior/Facade/Window,13477058.07
VLADECK,747885540.05,1531,488494.8008164598,Apartments,239902390.65,Heating,158240774.7,Building Exterior/Facade/Window,118506358.99
VLADECK II,146036372.1,240,608484.8837499999,Apartments,39275680.29,Heating,25026705.33,Building Exterior/Facade/Window,21631265.3
WAGNER,1322965600.17,2162,611917.4838899168,Heating,428929032.18,Apartments,419474428.55,Building Exterior/Facade/Window,179434423.47
WALD,958277135.48,1861,514925.91911875334,Apartments,341190102.42,Heating,192784269.7,Building Exterior/Facade/Window,135644701.01000002
WASHINGTON,726699885.68,1515,479669.89153795375,Apartments,283310694.26,Heating,147668343.35,Building Exterior/Facade/Window,78718191.42
WEBSTER,280764124.75,606,463307.1365511551,Apartments,125139101.5,Heating,43200333.75,Building Exterior/Facade/Window,42786480.7
WEST BRIGHTON I,264073450.88,490,538925.4099591837,Apartments,92344206.25,Heating,57237201.63,Building Exterior/Facade/Window,44286893.87
WEST BRIGHTON II,73681459.3,144,511676.80069444445,Building Exterior/Facade/Window,19587659.08,Apartments,16942251.12,Heating,15195164.04
WEST FARMS ROAD REHAB,101261045.63,208,486831.95014423074,Apartments,38539400.68,Building Exterior/Facade/Window,20650770.68,Elevators,10243195.83
WEST FARMS SQUARE CONVENTIONAL,11078487.89,20,553924.3945,Apartments,3856840.86,Building Exterior/Facade/Window,3525665.38,Heating,930250.06
WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,58924456.59,148,398138.22020270274,Apartments,24329025.3,Heating,16006227.48,Building Exterior/Facade/Window,5555464.61
WHITE,94669795.17,248,381733.0450403226,Apartments,37429589.2,Heating,25587165.3,Building Exterior/Facade/Window,10283973.399999999
WHITMAN,933894048.14,1659,562925.8879686558,Apartments,268835624.48,Plumbing,194340194.42,Heating,122167298.71000001
WILSON,189544324.6,398,476242.0216080402,Apartments,84554280.17,Building Exterior/Facade/Window,29801503.82,Heating,28910486.48
WOODSIDE,800405515.58,1357,589834.5730140015,Apartments,238921395.48000002,Building Exterior/Facade/Window,119006484.51,Heating,108103578.9
WOODSON,163542238.17000002,407,401823.68100737105,Apartments,65642203.17,Heating,48689970.34,Building Exterior/Facade/Window,14522387.77
WSUR (BROWNSTONES),177534292.71,236,752263.952161017,Building Exterior/Facade/Window,55481272.25,Apartments,38015775.449999996,Heating,25993456
WSUR (SITE A) 120 WEST 94TH STREET,36805844.08,70,525797.7725714286,Apartments,13136342.61,Heating,8380862.03,Building Exterior/Facade/Window,4892984.64
WSUR (SITE B) 74 WEST 92ND STREET,71784483.74,168,427288.59369047615,Apartments,31990055.91,Heating,11867160.25,Building Exterior/Facade/Window,6829008.91
WSUR (SITE C) 589 AMSTERDAM AVENUE,66311919.08,158,419695.69037974684,Apartments,31788619.18,Building Exterior/Facade/Window,9693687.52,Heating,7348975.46
WYCKOFF GARDENS,208694971.35,529,394508.4524574669,Apartments,100925582.13,Heating,38108620.08,Building Exterior/Facade/Window,25408656.75
